subject,Caspase subgraph,Chaperone subgraph,GRB10 subgraph,Interferon signaling subgraph,Insulin signal transduction,Interleukin signaling subgraph,MAPK subgraph,miRNA subgraph,Notch signaling subgraph,RhoA subgraph,Amyloidogenic subgraph,Akt/mTOR subgraph,Apoptosis signaling subgraph,Autophagy signaling subgraph,ATP13A2 subgraph,APOE subgraph,Bcl-2 subgraph,Calcium-dependent signal transduction,Calsyntenin subgraph,Cholesterol metabolism subgraph,Cell cycle subgraph,Cyclic AMP subgraph,Cytokine signaling subgraph,DNA synthesis,Dopaminergic subgraph,Disaccharide metabolism subgraph,Endoplasmic reticulum-Golgi protein export,Energy metabolic subgraph,Estrogen subgraph,FMR1 subgraph,Folate metabolic subgraph,GABA subgraph,GSK3 subgraph,G-protein-mediated signaling,Innate immune system subgraph,Lipid metabolism subgraph,LRRK2 subgraph,Matrix metalloproteinase subgraph,Mitochondria fission subgraph,Mitochondria fusion subgraph,Mitochondrial subgraph,Mitophagy subgraph,Nuclear factor Kappa beta subgraph,Neurotrophic subgraph,Nitric oxide subgraph,PINK1 subgraph,Phosphatidylinositol 3 subgraph,Pre-translational events,Post-translational events,Regulation of cytoskeleton subgraph,Response to oxidative stress,Reactive oxygen species subgraph,Synuclein subgraph,Tau protein subgraph,Transcription subgraph,Transport related subgraph,Toll like receptor subgraph,Tumor necrosis factor subgraph,Ubiquitin subgraph,Unfolded protein response subgraph,Vascular endothelial growth factor subgraph,Vitamin subgraph,Wnt signaling subgraph,CRH subgraph
PPMISI41382,0,0.0263157895,0,0.0263157895,0,0.024691358,nan,0,0.0303030303,nan,nan,0.03125,0.4285714286,nan,nan,0.03125,0,nan,0,0.037037037,nan,nan,0,0,0,0,0,nan,nan,0.3333333333,0.0243902439,nan,0.0410958904,0,nan,nan,0,nan,0,0.023255814,nan,0,0,nan,nan,0.04,0.1320754717,0,0.0647058824,nan,nan,0,nan,0.0555555556,0.0454545455,nan,nan,0.039039039,0,0,0.1111111111,0,0,
PPMISI41384,0.1666666667,0.0147058824,0,0.0338983051,nan,0.0045977011,nan,0.1538461538,0,nan,0,0,0.0625,nan,nan,0.0454545455,0.0416666667,nan,0,0.0112359551,nan,nan,nan,0.0188679245,nan,0,0,nan,nan,0.25,0,0,0.025,0,0.25,nan,0,nan,0,0.0361445783,nan,nan,0,nan,0,0,0.0512820513,0,0.0344827586,0.2857142857,0.125,0.1555555556,nan,0,0,0,nan,0.0161290323,0,0.05,nan,0,nan,
PPMISI41399,0,0.0212765957,nan,0.0256410256,nan,0.0112866817,0,0,0,nan,0,0.0714285714,0.0606060606,nan,nan,0.0434782609,0.0470588235,nan,0,0.0602409639,nan,nan,nan,0,0,0,0.3333333333,nan,nan,0,0,nan,0.0173913043,0,0,nan,0,nan,0.037037037,0.027027027,nan,0,0.0461538462,nan,0.1176470588,0,0.0869565217,0,0.0287356322,nan,0,0.1590909091,nan,0.0555555556,0.0666666667,0,nan,0.0254237288,nan,nan,nan,0,0,
PPMISI41400,0,0.0625,0,0.0618556701,0,0.0126582278,0,0.1379310345,0.137254902,nan,0,0.0111111111,0.0666666667,nan,nan,0,0.0526315789,nan,0,0,nan,nan,nan,0.0975609756,0,0,0.0666666667,nan,nan,0.2,0,0.0973451327,0.0165289256,0.1818181818,0,nan,0,nan,0.0384615385,0.0128205128,nan,0,0.0153846154,0,nan,0.0540540541,0.1111111111,0,0.0197368421,nan,0.0606060606,0.0740740741,nan,0.1594202899,0.0333333333,nan,0,0.0173913043,0,0,0.2,nan,0.5,
PPMISI41401,0.0526315789,0.0303030303,0,0.0363636364,nan,0.0064377682,0,0.037037037,0,nan,nan,0.0294117647,0.0434782609,nan,nan,0.0588235294,0.0437956204,nan,0,0.0263157895,nan,nan,nan,0,0,nan,0.125,nan,nan,0,0,nan,0,0.0625,0.0909090909,nan,0,nan,0.0416666667,0.0285714286,nan,0,0,nan,0,0,0.125,0,0.0975609756,nan,0,0.1111111111,nan,0,0,nan,0,0.0140186916,0,0.1,0,0.25,0,
PPMISI41405,0.0666666667,0.0909090909,0,0.0606060606,0,0.0194552529,nan,0,0,nan,nan,0,0.0588235294,nan,nan,0.04,0,nan,0,0.043956044,nan,nan,nan,0.1,0.0576923077,0,1,nan,nan,0.2,0.0340909091,nan,0.0373831776,0.0555555556,0.1428571429,nan,0,nan,0,0.03125,nan,0,0,nan,0.1176470588,0.04,0.0681818182,0,0.03125,nan,nan,0,nan,0.1111111111,0.0454545455,nan,nan,0.0494699647,0,0,0.0263157895,0,0,
PPMISI41410,0,0.0188679245,0,0.0298507463,0,0.0023584906,0,0.1428571429,0,nan,0,0,0.0740740741,nan,nan,0,0.0615384615,nan,0,0.0377358491,nan,nan,nan,0,0.06,nan,0.1428571429,nan,nan,0.125,0.0242424242,nan,0.0202020202,0,0.1176470588,nan,0,nan,0,0.1,nan,0,0,nan,nan,nan,0.1111111111,0,0.0731707317,0.2857142857,0,0.2222222222,nan,0.0504201681,0.0714285714,nan,0,0.0446096654,nan,nan,0,nan,nan,
PPMISI41411,0.0444444444,0.0243902439,nan,0.025,nan,0.0087527352,nan,0,0,nan,nan,0.0315789474,0.1333333333,nan,nan,0.027027027,0.0561797753,nan,0,0.0352941176,nan,nan,0,0,0,nan,0,nan,nan,0.1818181818,0.0163934426,0,0.0108695652,0,0.1818181818,nan,0,nan,0,0.023255814,nan,nan,0.0307692308,nan,0,0.0444444444,0.0769230769,0,0.0333333333,nan,0.1,0.2222222222,nan,0.0402684564,0.0208333333,nan,0,0.0222222222,nan,0,nan,0,nan,
PPMISI41412,0.125,0.0333333333,0,0.02,0,0.0164609053,0,0,0,nan,0.25,0.0714285714,0.0681818182,nan,nan,0,0,nan,0,0.0222222222,nan,nan,nan,0.1,0.0535714286,nan,0,nan,nan,0.1578947368,nan,0.0909090909,0.0256410256,0,0.1176470588,nan,0,nan,0,0.0348837209,nan,0,0,0,0,0,0.0930232558,0,0.1020408163,nan,0.125,0.1428571429,nan,0.05,0.0454545455,nan,0,0.0220994475,0,0,0.025,0,nan,
PPMISI41420,0,0.0153846154,0,0,0.0857142857,0.0045248869,nan,0.0322580645,0,nan,0,0.0263157895,0.0638297872,nan,nan,0.025,0,nan,0,0.0204081633,nan,nan,nan,0,0,nan,0,nan,nan,0.25,0.0909090909,0.2307692308,0.0211267606,0,0.25,nan,0,nan,0,0.0196078431,nan,nan,0.0416666667,0,0,nan,0.3076923077,0,0.0163934426,nan,0.125,0,nan,0.0254237288,0.0357142857,nan,0,0.0392156863,nan,nan,nan,nan,0.125,
