subject,Caspase subgraph,Chaperone subgraph,GRB10 subgraph,Interferon signaling subgraph,Insulin signal transduction,Interleukin signaling subgraph,MAPK subgraph,miRNA subgraph,Notch signaling subgraph,RhoA subgraph,Amyloidogenic subgraph,Akt/mTOR subgraph,Apoptosis signaling subgraph,Autophagy signaling subgraph,ATP13A2 subgraph,APOE subgraph,Bcl-2 subgraph,Calcium-dependent signal transduction,Calsyntenin subgraph,Cholesterol metabolism subgraph,Cell cycle subgraph,Cyclic AMP subgraph,Cytokine signaling subgraph,DNA synthesis,Dopaminergic subgraph,Disaccharide metabolism subgraph,Endoplasmic reticulum-Golgi protein export,Energy metabolic subgraph,Estrogen subgraph,FMR1 subgraph,Folate metabolic subgraph,GABA subgraph,GSK3 subgraph,G-protein-mediated signaling,Innate immune system subgraph,Lipid metabolism subgraph,LRRK2 subgraph,Matrix metalloproteinase subgraph,Mitochondria fission subgraph,Mitochondria fusion subgraph,Mitochondrial subgraph,Mitophagy subgraph,Nuclear factor Kappa beta subgraph,Neurotrophic subgraph,Nitric oxide subgraph,PINK1 subgraph,Phosphatidylinositol 3 subgraph,Pre-translational events,Post-translational events,Regulation of cytoskeleton subgraph,Response to oxidative stress,Reactive oxygen species subgraph,Synuclein subgraph,Tau protein subgraph,Transcription subgraph,Transport related subgraph,Toll like receptor subgraph,Tumor necrosis factor subgraph,Ubiquitin subgraph,Unfolded protein response subgraph,Vascular endothelial growth factor subgraph,Vitamin subgraph,Wnt signaling subgraph,CRH subgraph
PPMISI3000,0.0540540541,0.0508474576,0,0.027027027,0,0.0103092784,0,0.1,0.75,nan,0,0.064516129,0,nan,nan,nan,0.0461538462,nan,nan,0.0606060606,nan,nan,nan,0.023255814,0,nan,0.5,nan,nan,0.0588235294,0.1052631579,nan,0,0,0.0740740741,nan,0,nan,0,0.0322580645,nan,0,0.0238095238,nan,nan,0,0.1818181818,0,0.0649350649,0,0,nan,nan,0.0897435897,0,0,0,0.0307017544,nan,nan,0,0,0.1111111111,
PPMISI3001,0.0333333333,0,0,0,0.0666666667,0,0,0,0,nan,nan,0.1666666667,0,nan,nan,0.1428571429,0.0361445783,nan,0,0.0126582278,nan,nan,nan,0.037037037,0,0,0.0588235294,nan,nan,0.125,0,nan,0.0222222222,0,0,nan,0,nan,0,0.037037037,nan,0,0.03125,nan,nan,0.0666666667,0.125,0,0.0454545455,nan,0,0,nan,0.0833333333,0.0444444444,nan,0,0.049689441,0,0,0.023255814,0,nan,
PPMISI3002,0,0,nan,0.0085470085,0,0.0046620047,0,0.09375,0,nan,0,0.0208333333,0,nan,nan,0,0,nan,0,0,nan,nan,0,0,0,0,0,nan,nan,0.2307692308,nan,0.0909090909,0.046875,0,0.2,nan,0,nan,0.1,0.1538461538,nan,0,0,nan,0.0833333333,0.0303030303,0.0571428571,0,0.0882352941,nan,0,0.3636363636,nan,0.024691358,0,0,0,0.0229357798,0,0,0.25,0,nan,
PPMISI3003,0,0.0285714286,nan,0.0526315789,0,0.0066225166,0,0.0555555556,0.0384615385,nan,nan,0.0615384615,0.1,nan,nan,0,0,nan,nan,0.0238095238,nan,nan,0,0.0384615385,nan,0,0.2,nan,nan,0.0416666667,0.0606060606,nan,0.0487804878,0,0,nan,0,nan,0,0.0294117647,nan,0,0,nan,0,nan,0.25,0,0.025974026,nan,0,0.2352941176,nan,0.0458015267,0.0588235294,nan,0,0.036036036,nan,0.125,0.3333333333,nan,0,
PPMISI3004,0,0.007751938,nan,0.0193548387,0,0.0057034221,nan,0,0,nan,0,0,0.0700636943,nan,nan,0,0,nan,0,0,nan,nan,0,0,0,0,0.25,nan,nan,0.1666666667,0.0310077519,nan,0,0,0.1034482759,nan,0,nan,0.0277777778,0.0294117647,nan,0,0,nan,0,0.0512820513,0.064516129,0,0.0192307692,nan,0,0,nan,0.0714285714,0,nan,0,0.028708134,0,0.1428571429,0,nan,0,
PPMISI3006,0.0256410256,0.0434782609,nan,0.025,0,0.0024096386,0,0.0769230769,0.023255814,nan,nan,0,0,nan,nan,0,0,nan,0,0,nan,nan,nan,nan,0,nan,0,nan,nan,0.1363636364,0,nan,0,0,0.1304347826,nan,0,0.1111111111,0,0.0303030303,nan,nan,0.0208333333,nan,nan,0.0540540541,0.0735294118,0,0.0229007634,0.2857142857,0,0.2222222222,nan,0.0833333333,0.0408163265,nan,nan,0.0505050505,0,0.125,0,0.25,0.125,
PPMISI3007,0.0344827586,0.0238095238,0,0.0416666667,nan,0.0090293454,0,nan,0.05,nan,nan,0.0555555556,0.0579710145,nan,nan,0.1,0.0344827586,nan,0,0.0196078431,nan,nan,nan,0.0192307692,0,nan,0,nan,nan,nan,0.0416666667,nan,0.0714285714,nan,nan,nan,0,0.1111111111,0,0.0263157895,nan,0,0.0243902439,nan,nan,0.0384615385,0.0322580645,0,0.0217391304,nan,nan,0.3,nan,0.1818181818,0.037037037,nan,nan,0.0432098765,0,0,0,nan,0,
PPMISI3008,0,0,0,0.1212121212,0,0.0070588235,0,0,0.1034482759,nan,0,0.0175438596,0.0661157025,nan,nan,0,0.064516129,nan,0,0.0149253731,nan,nan,nan,0,0,0,0.3333333333,nan,nan,0.0833333333,0.0909090909,0.0909090909,0.0188679245,0,0.0833333333,nan,0,nan,0.0357142857,0.0454545455,nan,nan,0,nan,nan,nan,0.1111111111,0,0.0292397661,nan,nan,0.2272727273,nan,0.1084337349,0.0285714286,nan,0,0.0405405405,nan,0,nan,0,nan,
PPMISI3009,0.0666666667,0.0569620253,0,0.0446927374,0,0.012145749,0.0357142857,0.1,0.1052631579,nan,0,0.0465116279,0,nan,nan,0.0833333333,0.0445859873,nan,0,0.0208333333,nan,nan,nan,0.0833333333,0,0,0.125,nan,nan,0.097826087,0.0526315789,nan,0.0344827586,0.0309278351,0.0803571429,nan,0,nan,nan,0.0458015267,nan,0,0.0347222222,nan,0,0,0.0655737705,0,0.0532544379,nan,0.0434782609,0.3333333333,nan,0.0649350649,0.0212765957,nan,0,0.0424836601,0,0,0.027027027,0,0.125,
PPMISI3010,0,0.2,0,0.0357142857,0.0666666667,0.0047169811,0,0.1481481481,0.0882352941,nan,0,0.0344827586,0.0666666667,nan,nan,0.0909090909,0.03125,nan,0,0.0212765957,nan,nan,nan,0.037037037,0.0326086957,0,0,nan,nan,0.1904761905,0,nan,0.0206185567,0,0.1666666667,nan,0,0.1111111111,0,0.0384615385,nan,nan,0,nan,0,nan,0.08,0,0.0472972973,nan,0.1176470588,0,nan,0.0336134454,0.0677966102,nan,0,0.0196078431,0,nan,0.25,nan,0,
PPMISI3011,0,0,0,0,0,0,0,0,0.1111111111,nan,0,0.0434782609,0,nan,nan,0.5,0.0617283951,nan,0,0,nan,nan,nan,0,nan,nan,0.3333333333,nan,nan,0,nan,nan,0,0.0243902439,0,nan,0,nan,0,0.0625,nan,0,0.0425531915,nan,0,0.05,0.0555555556,0,0.0425531915,nan,0.0952380952,0.375,nan,0.25,0,nan,nan,0.025,nan,nan,0,0,0,
PPMISI3012,0.04,0,nan,0,0.1111111111,0.0115830116,0,0.0810810811,0.0483870968,nan,0.125,0.0256410256,0,nan,nan,0.0333333333,0.0204081633,nan,0,0.014084507,nan,nan,0,0,0,0,0.2,nan,nan,0,0,nan,0.0113636364,0,0,nan,0,nan,0,0.0294117647,nan,0,0,nan,0.08,nan,0.0810810811,0,0,0.2857142857,0,0.2352941176,nan,0.0714285714,0.04,0,0,0.0348837209,nan,0,0,0,nan,
PPMISI3013,0.0416666667,0,0,0,0,0.0045558087,0,0,0,nan,nan,0.0454545455,0.0652173913,nan,nan,0,0.0217391304,nan,0,0.0784313725,nan,nan,nan,0,nan,nan,0,nan,nan,nan,0,nan,0.0245901639,0.012195122,0,nan,0,nan,0,0.0536912752,nan,0,0.0193548387,nan,0.0833333333,0.0476190476,0.0909090909,0,0,nan,0.0544217687,0,nan,0.0909090909,0.0547945205,0,0,0.0229885057,nan,0,0,nan,0,
PPMISI3014,0.0476190476,0.0344827586,0,0.0470588235,nan,0.008988764,nan,0.2666666667,0,nan,0,0.0192307692,0.0606060606,nan,nan,nan,0,nan,0,0,nan,nan,nan,0,0,0,0,nan,nan,0.125,0,nan,0.0303030303,0,0.125,nan,0,nan,0,0.0384615385,nan,nan,0.0113636364,nan,0,0.0416666667,0.0833333333,0,0.0434782609,nan,0,0,nan,0.1333333333,0,nan,nan,0.0442477876,nan,nan,0,0,0,
PPMISI3016,0,0.0909090909,0,0.0681818182,0,0.0023923445,nan,0.1904761905,0,nan,nan,0,0.05,nan,nan,0,0.0238095238,nan,0,0.0555555556,nan,nan,nan,0,nan,0,0,nan,nan,0.2,0.0571428571,nan,0.0388349515,0.0240963855,0.1428571429,nan,0,nan,0,0.0188679245,nan,0,0.0138888889,nan,nan,0.0666666667,0.027027027,0,0,nan,0.0273972603,0,nan,0.0131578947,0.0277777778,nan,0,0.0293040293,0,0,0,nan,nan,
PPMISI3018,0,0,0,0,nan,0.0046838407,nan,0,0.1,nan,nan,0.0322580645,0.0666666667,nan,nan,0.0588235294,0.0393700787,nan,0,0.0490196078,nan,nan,0,0,0.06,nan,0,nan,nan,nan,0,nan,0.0197368421,0.0379746835,0.1,nan,0,nan,0,0.0243902439,nan,nan,0,nan,0,0.0425531915,0.1,0,0.1,0.2857142857,nan,0,nan,0.0574712644,0,nan,nan,0.043715847,0,0,0,0,0,
PPMISI3020,0.0322580645,0.0350877193,0,0.0357142857,0,0.0136986301,0,0.0769230769,0.1481481481,nan,nan,0.1363636364,0.0588235294,nan,nan,0.0833333333,0.0238095238,nan,0,0.08,nan,nan,nan,nan,0,nan,0.25,nan,nan,0.2857142857,0,nan,0,0,0.25,nan,0,0.0909090909,0.0357142857,0.0397350993,nan,nan,0.020979021,nan,0.1111111111,0.0512820513,0.0833333333,0,0.0945945946,nan,0.0375,0.1458333333,nan,0.1111111111,0.023255814,nan,0,0.0068965517,0,nan,0.0263157895,0,0.125,
PPMISI3021,0,0.023255814,0,0.0192307692,0,0.0070588235,0,0.1,0,nan,nan,0,0.0555555556,nan,nan,nan,0.012987013,nan,0,0.021978022,nan,nan,0,0.1,0.0306122449,0,0.04,nan,nan,nan,0,nan,0.02,nan,0.1111111111,nan,0,nan,nan,0.0540540541,nan,0,0,nan,nan,0.0454545455,0,0,0.03125,0.2857142857,0,0.064516129,nan,0.0235294118,0.1666666667,nan,0,0.0288461538,nan,0.1428571429,0,nan,nan,
PPMISI3023,0,0,0,0,0,0.0085470085,0,0.125,0,nan,nan,0.0222222222,0.0666666667,nan,nan,0.0263157895,0,nan,0,0.0272727273,nan,nan,nan,0,0.0535714286,0,0,nan,nan,0.1052631579,0,nan,0.0208333333,0,0.1052631579,nan,0,nan,0,0.0175438596,nan,0,0,nan,0.08,0.04,0.0909090909,0,0.0853658537,0.2857142857,0,0,nan,0.0769230769,0.1111111111,nan,nan,0.031496063,0,nan,0,nan,nan,
PPMISI3024,0.0714285714,0,0,0.0472440945,0,0.006833713,0,0.0526315789,0,nan,nan,0.015625,0.071942446,nan,nan,0,0,nan,0,0.0487804878,nan,nan,nan,0.1538461538,nan,0,0,nan,nan,0.0714285714,0,nan,0.0186915888,0,0.0714285714,nan,0,nan,0,0.0344827586,nan,0,0.0201342282,nan,nan,0.05,0.0714285714,0,0.0247933884,nan,0,0.2,nan,0.0714285714,0,nan,nan,0.0162162162,0,0,0,0,0,
PPMISI3026,0.0416666667,0.0487804878,nan,0.0833333333,nan,0,nan,0.09375,0,nan,0,0.0833333333,0.0714285714,nan,nan,0,0.04,nan,0,0.0175438596,nan,nan,nan,0.1111111111,nan,0,0,nan,nan,0.1578947368,0.0353982301,0.2307692308,0,0,0.0786516854,nan,0,nan,0,0,nan,0,0.0222222222,nan,nan,0.0697674419,0.0806451613,0,0.0303030303,nan,0.125,0.2857142857,nan,0.0425531915,0.0294117647,nan,nan,0.0057142857,nan,0,0,0,0,
PPMISI3027,0,0.0089285714,0,0,nan,0.0083857442,nan,0.0555555556,0,nan,0,0.0256410256,0.0615384615,nan,nan,0,0.0571428571,nan,0,0,nan,nan,nan,0,0,0,0,nan,nan,0.1333333333,nan,nan,0.0421052632,0.0236686391,0.0769230769,nan,0,nan,0,0.0281690141,nan,nan,0,nan,0,nan,0.0540540541,0,0.0545454545,nan,0,0.3636363636,nan,0.0106382979,0.023255814,nan,nan,0.0185873606,nan,0.125,0.1428571429,nan,0.3333333333,
PPMISI3028,0,0.0212765957,nan,0,nan,0.0072859745,nan,0.1481481481,0,nan,0,0,0.0666666667,nan,nan,0,0,nan,0,0,nan,nan,0,0.0238095238,0.0535714286,nan,0.2,nan,nan,0,0,0.2307692308,0.0277777778,0.0187793427,0,nan,0,nan,0,0.05,nan,0,0.0263157895,nan,nan,0.0566037736,0.0344827586,0,0.0144927536,nan,0.125,0.6666666667,nan,0.02,0.0340909091,nan,0,0.0434782609,0,0.1,0,0,0,
PPMISI3029,0.03125,0.0689655172,nan,0.0769230769,0,0.0023923445,nan,0.1578947368,0.0740740741,nan,0,0.1052631579,0.0666666667,nan,nan,0.1363636364,0.0396825397,nan,0,0.0568181818,nan,nan,nan,0.1176470588,0.0322580645,nan,0.5,nan,nan,0.1538461538,0,nan,0.0265486726,0,0.1428571429,nan,0,0,0,0.0588235294,nan,0,0.0325203252,nan,0,0.1666666667,0.0625,0,0.037037037,nan,0.1,0.1052631579,nan,0.0505050505,0,nan,nan,0.032967033,0,nan,0,nan,nan,
PPMISI3050,0.0357142857,0.011627907,0,0.0099009901,0,0,0,0,0.2222222222,nan,nan,0.0625,0.0578512397,nan,nan,0,0,nan,0,0,nan,nan,nan,0.05,0.06,0,0.0833333333,nan,nan,0.15,0.0350877193,0.0909090909,0.0142857143,0,0.1176470588,nan,0,nan,0.0227272727,0.0408163265,nan,nan,0.023255814,nan,0,nan,0.1666666667,0,0.0379746835,nan,nan,0.0975609756,nan,0.2,0.0681818182,nan,nan,0.0185185185,0,0.1,0.0263157895,0,nan,
PPMISI3051,0.0434782609,0.0091743119,0,0.0081967213,0,0.0157068063,0,0.1428571429,0.0357142857,nan,0.5,0.0465116279,0.0697674419,nan,nan,0,0,nan,0,0.04,nan,nan,0,0.0212765957,0,0,0.1666666667,nan,nan,0.25,0,nan,0.0192307692,0,0.1666666667,nan,0,nan,0,0.0526315789,nan,nan,0.0263157895,nan,0,0,0,0,0,nan,0,nan,nan,0.0597014925,0,nan,0,0.0552147239,0,0,0,nan,nan,
PPMISI3052,0,0.0307692308,nan,0.0142857143,0.1,0.0112570356,nan,0.3333333333,0,nan,0,0.0471698113,0,nan,nan,0,0.0317460317,nan,0,0.0327868852,nan,nan,0,0.1666666667,0,nan,0,nan,nan,0.25,0,nan,0.017699115,0.0612244898,0.25,nan,0,nan,0,0.1034482759,nan,0,0,nan,0,0,0.0666666667,0,0.02,nan,0,0.2857142857,nan,0.0714285714,0.0909090909,nan,nan,0.0132743363,0,0,0,0,0.3333333333,
PPMISI3053,0,0.0392156863,0,0.0267857143,0,0.023715415,0,0.1818181818,0.0212765957,nan,nan,0.1,0,nan,nan,nan,0.0178571429,nan,0,0.03125,nan,nan,0,0.0909090909,0,0,0,nan,nan,0,0,nan,0.0075757576,0,0.0615384615,nan,0,nan,0,0.0294117647,nan,nan,0,nan,0,0,0.1219512195,0,0.0230769231,nan,nan,0.5,nan,0.1,0.0508474576,nan,0,0.0135746606,0,nan,0,0,0.3333333333,
PPMISI3054,0,0.0098039216,0,0.0086206897,nan,0.0173160173,0,0,0,nan,nan,0,0.0714285714,nan,nan,nan,0.0333333333,nan,nan,0,nan,nan,0,0,0.0588235294,nan,0,nan,nan,0,0.0388349515,nan,0.025974026,0,0,nan,0,0.0909090909,0.0285714286,0.0291970803,nan,0,0.0294117647,nan,0.25,0.0425531915,0.1176470588,0,0,nan,0.036036036,0.2857142857,nan,0.0909090909,0.0506329114,nan,0,0.0080321285,0,0.1428571429,0,nan,0.1111111111,
PPMISI3055,0,0.0869565217,0,0.0555555556,0,0.009380863,nan,0.1904761905,0,nan,nan,0,0.0689655172,nan,nan,0,0.0125,nan,0,0.021978022,nan,nan,nan,0.2,0,0,0.2,nan,nan,0.1875,0,nan,0,0,0.1875,nan,0,nan,0,0.0625,nan,0,0.0322580645,nan,0,0,0.125,0,0.0694444444,0.2857142857,0.1,0.0714285714,nan,0.0357142857,0.0461538462,nan,nan,0.0231481481,0,0,0,0,0,
PPMISI3056,0.0322580645,0,nan,0.0307692308,0,0.0087912088,nan,0.0967741935,0.0769230769,nan,nan,0.0476190476,0.0465116279,nan,nan,0.3333333333,0.0384615385,nan,0,0,nan,nan,nan,0.1,nan,0,1,nan,nan,0.1818181818,0.0434782609,nan,0.019047619,0,0.15,nan,0,nan,0,0.0175438596,nan,0,0,nan,0.1111111111,0.05,0.1071428571,0,0.0420560748,0.2857142857,0.1052631579,0.1428571429,nan,0.0352941176,0.0508474576,nan,nan,0.0488888889,0,0,0,0,nan,
PPMISI3057,0,0.0434782609,0,0.0227272727,0,0.0064794816,nan,0.25,0.1,nan,0,0,0.0625,nan,nan,nan,0.0162601626,nan,0,0.0689655172,nan,nan,nan,0.0714285714,0,0,0.25,nan,nan,0.3333333333,0.0689655172,nan,0.0437956204,0.0182648402,0.3333333333,nan,0,nan,0,0,nan,nan,0.0294117647,nan,nan,0.0526315789,0.1,0,0.064516129,nan,0,0.0740740741,nan,0,0,nan,nan,0.021978022,nan,0,0.0238095238,0,0,
PPMISI3058,0.1428571429,0.0895522388,0,0.0784313725,0,0.0024937656,0,0.1363636364,0.0491803279,nan,0,0.0555555556,0.1111111111,nan,nan,nan,0.05,nan,0,0.0526315789,nan,nan,0,0,0,nan,0.1111111111,nan,nan,0.25,0.0412371134,nan,0,0.025477707,0.09375,nan,0,0,0,0.0555555556,nan,nan,0.0434782609,nan,0.08,0.0303030303,0.0357142857,0,0.0681818182,nan,0.0769230769,nan,nan,0.1315789474,0.0506329114,nan,nan,0.015625,nan,0,0.025,nan,nan,
PPMISI3059,0.0625,0.064516129,nan,0.064516129,0,0.0057361377,nan,0.125,0.1111111111,nan,nan,0.0714285714,0.1176470588,nan,nan,0.1,0,nan,0,0.0555555556,nan,nan,nan,0,0,nan,0.5,nan,nan,0.1428571429,0.0289855072,0.2307692308,0.03,nan,0.0666666667,nan,0,nan,0,0.0153846154,nan,nan,0,nan,0.08,nan,0.0909090909,0,0.1224489796,nan,0.0169491525,0,nan,0.2173913043,0.0793650794,nan,nan,0.0343007916,0,nan,0,0,0,
PPMISI3060,0,0.0210526316,nan,0.0114942529,0,0.0023923445,0,0.1290322581,0.0384615385,nan,0.3333333333,0.1081081081,0.2,nan,nan,nan,0,nan,0,0,nan,nan,0,0,nan,nan,0,nan,nan,0.1666666667,0,0.0740740741,0.0230769231,0,0.125,nan,0,nan,0.0476190476,0,nan,0,0.02,nan,0.1111111111,0.0512820513,0.0512820513,0,0.0204081633,nan,0.1176470588,0.2857142857,nan,0.0909090909,0,nan,nan,0.0562770563,0,0,0,nan,nan,
PPMISI3061,0.1111111111,0.0555555556,nan,0.0185185185,0.1428571429,0.0047961631,nan,0.1666666667,0,nan,nan,0.0243902439,0.0769230769,nan,nan,0,0.0326086957,nan,0,0.0540540541,nan,nan,nan,0.0222222222,0,0,0.25,nan,nan,0.3333333333,0,nan,0.0149253731,0,0.0476190476,nan,0,0,0,0.0909090909,nan,0,0.0135135135,nan,nan,0.04,0.2,0,0.0674157303,0.2857142857,0.125,0.3333333333,nan,0,0.0303030303,nan,0,0.0363636364,nan,nan,0.023255814,nan,0.1111111111,
PPMISI3062,0.0555555556,0.0714285714,0,0.0759493671,0,0.0047281324,0,0.0526315789,0.2068965517,nan,0.25,0.0212765957,0,nan,nan,0.0408163265,0.0238095238,nan,0,0.0350877193,nan,nan,nan,0.0298507463,0.06,nan,0,nan,nan,0.1578947368,0.0344827586,0.2307692308,0.0142857143,0.0117647059,0.2,nan,0,nan,0,0.0416666667,nan,0,0.037037037,nan,0,0.0540540541,0.0757575758,0,0.0384615385,nan,0.1333333333,0.2857142857,nan,0.0773809524,0.0714285714,nan,0,0.0122699387,0,nan,0,nan,0.5,
PPMISI3064,0.0357142857,0.0136986301,0,0.0454545455,0,0,nan,0.1666666667,0,nan,0.5,0,0.064516129,nan,nan,0,0,nan,0,0.0217391304,nan,nan,nan,0.0555555556,0,nan,0,nan,nan,nan,0.0366972477,0.2307692308,0.0151515152,0,nan,nan,0,nan,nan,0.0373831776,nan,0,0.0238095238,nan,nan,nan,0,0,0,nan,0.0285714286,0.2777777778,nan,0.2142857143,0.04,nan,nan,0.0423452769,nan,0,0,0,nan,
PPMISI3066,0.0434782609,0,0,0,nan,0,nan,0,0,nan,0,0.0133333333,0.0681818182,nan,nan,nan,0,nan,0,0.0714285714,nan,nan,0,0.064516129,0,nan,0,nan,nan,0.25,0,0,0.0105263158,0.024691358,0,nan,0,nan,0,0.0422535211,nan,0,0,0,nan,0,0.2,0,0.0625,0.2857142857,0.0555555556,0.5,nan,0.1666666667,0,nan,0,0.0227272727,0,0.125,0.0416666667,nan,0.05,
PPMISI3067,nan,0.0238095238,0,0.0120481928,0,0.0090497738,0.0909090909,0.0333333333,0.6,nan,0,0,0,nan,nan,0.0625,0.0194174757,nan,0,0.0366972477,nan,nan,nan,0,0,0,0,nan,nan,0,0.0449438202,nan,0.03125,0,0,nan,0,nan,0,0.052238806,nan,nan,0.0909090909,nan,0.1111111111,0.04,0,0,0.024,nan,0.0363636364,0,nan,0.2608695652,0.0384615385,nan,nan,0.0260869565,nan,nan,0,0,nan,
PPMISI3068,0,0.0380434783,0,0.0454545455,nan,0.0022883295,nan,0.0666666667,0.0588235294,nan,nan,0,0,nan,nan,0,0.0263157895,nan,0,0.037037037,nan,nan,0,0.1111111111,0,nan,0,nan,nan,0.1666666667,0.0287769784,nan,0.0119047619,0,0.2,nan,0,nan,0,0.0479041916,nan,0,0,0,0.25,nan,0.2222222222,0,0.0571428571,nan,0.0458015267,0,nan,0.0833333333,0,0,0,0.0573476703,0,0,0,0,0,
PPMISI3069,0.0555555556,0.0540540541,0,0.064516129,0,0.0048543689,0,0.1153846154,0.0975609756,nan,nan,0.0333333333,0.0666666667,nan,nan,0.0277777778,0.0337837838,nan,0,0.0153846154,nan,nan,nan,0.0555555556,0.06,0,0.2222222222,nan,nan,0,0,nan,0.0256410256,0.0242424242,0.0563380282,nan,0,0.0909090909,0,0.1071428571,nan,0,0,nan,0,0.0416666667,0,0,0.0666666667,0.2857142857,0.1176470588,0.375,nan,0.1492537313,0.1153846154,nan,nan,0.0073529412,nan,0,0,nan,0.1111111111,
PPMISI3071,0,0.0135135135,0,0.0169491525,0,0.0064935065,0,0.1142857143,0,nan,0.125,0.0526315789,0.15,nan,nan,0.0384615385,0.025862069,nan,0,0.0224719101,nan,nan,0,0.2222222222,nan,0,0,nan,nan,0.2631578947,0.0325203252,nan,0.0239520958,0,0.1081081081,nan,0,nan,nan,0.1,nan,nan,0,nan,nan,0.0512820513,0.0625,0,0.0925925926,nan,0,0.1666666667,nan,0.036036036,0.0344827586,nan,0,0.0647482014,nan,nan,0.1666666667,0,nan,
PPMISI3072,0,0.125,0,0.1481481481,0,0.010989011,nan,0.1818181818,0.1176470588,nan,0,0,0,nan,nan,0,0.0331125828,nan,0,0,nan,nan,0,0,0,nan,0,nan,nan,0.0909090909,0.0347826087,0.0909090909,0.0350877193,0.0263157895,0.0681818182,nan,0,nan,0,0.0285714286,nan,0,0.019138756,nan,0,nan,0.0789473684,0,0.0625,0.2857142857,0,0.1428571429,nan,0.0617283951,0.0555555556,0,nan,0.0344827586,0,nan,0,nan,0,
PPMISI3073,0,0.0125,0,0.017699115,0,0.0023980815,0,0.1,0,nan,nan,0.0163934426,0.062992126,nan,nan,0.0769230769,0.0384615385,nan,0,0.0224719101,nan,nan,nan,0.0526315789,nan,nan,nan,nan,nan,0.1052631579,0,nan,0.01,0,0.0819672131,nan,0,nan,0,0,nan,0,0.0526315789,nan,nan,nan,0.037037037,0,0,0.2857142857,nan,0,nan,0.0952380952,0.0454545455,nan,0,0.0415512465,0,0,0,0,nan,
PPMISI3074,0,0.0961538462,0,0.1296296296,0.0833333333,0.0088691796,0,0.1666666667,0,nan,0,0.0163934426,0.0833333333,nan,nan,0.04,0.0353982301,nan,0,0,nan,nan,nan,0.0408163265,0,nan,0,nan,nan,0.25,0,nan,0.0740740741,0.0357142857,0,nan,0,0.0909090909,0,0.1111111111,nan,nan,0.0357142857,nan,nan,nan,0.0769230769,0,0.0273972603,nan,0.1,0,nan,0.0689655172,0,nan,nan,0.0474777448,0,0.125,0.25,nan,nan,
PPMISI3075,0,0.0142857143,0,0.0066225166,0.0344827586,0.0068965517,0,0.1,0.0422535211,nan,nan,0,0,nan,nan,0,0.0519480519,nan,0,0,nan,nan,nan,0,0,nan,0,nan,nan,0.1111111111,0.0388349515,nan,0.0272727273,0.0281690141,0.1111111111,nan,0,0,0.023255814,0.0496453901,nan,0,0.03125,nan,0,nan,0.0566037736,0,0.0144927536,0.2857142857,0.0536912752,0.1578947368,nan,0,0.0326086957,nan,nan,0.0468085106,0,0,0,nan,nan,
PPMISI3076,0.0666666667,0.09375,nan,0.1363636364,0,0.0090909091,0,0.1538461538,0,nan,nan,0.025,0.0666666667,nan,nan,0.0588235294,0.0625,nan,0,0.0379746835,nan,nan,0,0.0909090909,0,nan,0,nan,nan,0.2142857143,nan,nan,0.0344827586,0.0180995475,0.2142857143,nan,0,0.25,0,0.04,nan,0,0.0177514793,nan,nan,0.0526315789,0.1090909091,0,0,nan,nan,0.125,nan,0.0909090909,0.025,nan,nan,0.0225988701,0,0,0,0,0.1111111111,
PPMISI3077,0,0,0,0,0.037037037,0.0068965517,nan,0.1666666667,0.1666666667,nan,0,0.0344827586,0.0731707317,nan,nan,nan,0.0510204082,nan,0,0.0175438596,nan,nan,nan,0,0,0,0,nan,nan,0.0461538462,0,nan,0.032967033,0,0.0461538462,nan,0,nan,nan,0.0681818182,nan,nan,0.0236220472,nan,0,nan,0.1875,0,0.08,nan,0.1176470588,0,nan,0.24,0.0526315789,nan,nan,0.0600706714,0,0,0,0,0.05,
PPMISI3078,0.025,0.0303030303,0,0.0188679245,0,0.0096153846,0,0.5,0,nan,0,0,0.0620155039,nan,nan,0,0.0375,nan,0,0.0416666667,nan,nan,0,0.0909090909,nan,0,0,nan,nan,0.3333333333,0,0.0909090909,0.0263157895,0,0.1666666667,nan,nan,nan,0,0.0847457627,nan,0,0.0322580645,nan,nan,0.046875,0,0,0.0540540541,nan,0,0.3333333333,nan,0.0612244898,0,nan,0,0.0297029703,nan,nan,0.0243902439,nan,0.125,
PPMISI3079,0,0.025974026,nan,0.0131578947,nan,0.0065217391,0,0.04,0,nan,0,0.0615384615,0.0714285714,nan,nan,0.0588235294,0.023255814,nan,0,0.0222222222,nan,nan,0,0,nan,0,0.05,nan,nan,0,0.0909090909,nan,0.027027027,0,0.0333333333,nan,0,nan,0,0.0810810811,nan,0,0.0769230769,0,0.1176470588,0.0416666667,0.075,0,0.0666666667,0.2857142857,0.1176470588,nan,nan,0.1111111111,0,nan,0,0.0656565657,0,0.0625,0,0,0.1111111111,
PPMISI3080,0.0444444444,0.0266666667,0,0.0229885057,0.0625,0.0047281324,0,0.125,0,nan,0.125,0.0273972603,0.25,nan,nan,0.0256410256,0,nan,0,0.0161290323,nan,nan,0,0.1333333333,0,0,0,nan,nan,0,0.0327868852,nan,0.0188679245,0,0,nan,0,0,0,0.0533333333,nan,0,0.0217391304,nan,0.1333333333,nan,0.1,0,0.0625,nan,0,0.2222222222,nan,0.08,0.0333333333,nan,0,0.0427350427,nan,0,0,0,nan,
